X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
Zfp266,423.5386141,-0.593363347,0.144305421,-4.111857638,3.92E-05,0.000100512,1
Zfp263,583.8699282,-0.162083716,0.122076327,-1.327724377,0.184269177,0.271296279,1
Zfp260,572.0378777,-0.25648608,0.169455215,-1.513592128,0.130129319,0.200726202,1
Zfp26,456.3676215,-1.114156487,0.160259564,-6.952199641,3.60E-12,1.54E-11,1
Zfp251,162.4495114,-0.47924523,0.192473954,-2.489922509,0.012777095,0.024495007,1
Zfp248,29.24196454,-0.798136581,0.474248243,-1.682951055,0.092384567,0.148078814,1
Zfp239,13.34626504,0.847510595,0.72135639,1.174884713,0.240040842,0.341155107,1
Zfp236,463.1431207,-2.473838985,0.149805191,-16.51370673,2.92E-61,1.10E-59,1
Zfp235,93.45903156,0.118016529,0.249042101,0.473881842,0.635584168,0.738497804,1
Zfp229,90.09178889,-1.103440123,0.310021661,-3.559235576,0.000371936,0.000866693,1
Zfp219,473.7751256,-0.839235747,0.148318234,-5.658345077,1.53E-08,5.16E-08,1
Zfp217,927.0498183,-1.706388224,0.115782178,-14.73791784,3.68E-49,8.84E-48,1
Zfp213,376.5148944,0.429525128,0.156748978,2.740210066,0.006139993,0.012362299,1
Zfp212,338.531901,-0.231351481,0.150755463,-1.534614243,0.124878612,0.193434055,1
Zfp207,2863.171845,1.332942053,0.125181992,10.64803354,1.78E-26,1.59E-25,1
Zfp202,117.8677826,-0.513230508,0.22456429,-2.285450234,0.022286441,0.040752418,1
Zfp2,90.15992906,-0.218365373,0.261207342,-0.83598482,0.403163443,0.520825136,1
Zfp191,797.5154049,0.002142463,0.135955917,0.015758512,0.987427047,0.991047632,1
Zfp189,154.2821609,0.14578596,0.204086707,0.714333446,0.475021016,0.592632629,1
Zfp185,43.80085523,1.044152239,0.349698989,2.985860041,0.00282782,0.005957907,1
Zfp184,70.8178266,0.664066995,0.306578234,2.166060473,0.030306566,0.054020873,1
Zfp182,201.8689152,-0.576500234,0.199442452,-2.890559297,0.00384557,0.007942456,1
Zfp180,335.0966521,-0.430410713,0.155255926,-2.77226592,0.005566754,0.011285794,1
Zfp174,59.98547528,-0.81946422,0.309655409,-2.646374634,0.008135966,0.016102096,1
Zfp169,73.53400121,-1.931558769,0.29964776,-6.446097805,1.15E-10,4.46E-10,1
Zfp160,323.6386875,-0.259727585,0.179835996,-1.44424693,0.148669528,0.225576268,1
Zfp157,362.2823651,-0.211809221,0.163339016,-1.296746036,0.194718584,0.284361852,1
Zfp148,933.6240979,-0.996614117,0.111259385,-8.957573481,3.32E-19,2.10E-18,1
Zfp146,722.7240496,-0.244812584,0.118580224,-2.064531295,0.03896737,0.068120646,1
Zfp143,365.7769271,-0.410357295,0.147561005,-2.780933178,0.005420289,0.011007267,1
Zfp142,198.0567083,-2.280655874,0.205151895,-11.1169135,1.04E-28,1.04E-27,1
Zfp141,183.5322348,-0.469529333,0.201254503,-2.333012813,0.019647473,0.036302369,1
Zfp14,112.7959298,0.378494807,0.21841586,1.732908987,0.083111847,0.134871979,1
Zfp133.ps,6.366316143,0.346660502,0.864841994,0.400836805,0.688540279,0.772780708,1
Zfp131,408.4184756,-0.392779758,0.139999082,-2.805588106,0.005022485,0.01024109,1
Zfp13,8.881323139,-0.584071513,0.869354545,-0.67184501,0.501682371,0.616290375,1
Zfp128,101.6450729,-0.175622134,0.228659578,-0.768050634,0.442457104,0.560034271,1
Zfp120,677.1479483,-0.373650667,0.172756661,-2.162872706,0.030550972,0.054410803,1
Zfp12,321.7847839,-0.496241873,0.144687731,-3.429743976,0.000604151,0.001378468,1
Zfp119b,138.5195298,0.767782909,0.231228502,3.320450988,0.000898721,0.002015354,1
Zfp119a,113.6495186,0.242946358,0.282431085,0.860196949,0.389680486,0.507697492,1
Zfp114,2.256753799,-3.143733952,1.759998302,-1.786214195,0.074064584,0.121679579,1
Zfp113,248.2840649,-0.666195697,0.171384981,-3.887129985,0.000101436,0.000250762,1
