"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"115","Capg",0.58977466977467,6.3481913597377e-06,-0.761764233449422
"116","Ptprj",1.64736164736165,6.41597091005833e-06,0.720157306479654
"117","Hs6st1",4.20571428571429,6.78121487684505e-06,2.07235084422469
"118","Rsrp1",0.648085519922255,7.1027101498089e-06,-0.625743894390184
"119","Asap1",0.538648947951274,7.49569332893137e-06,-0.892582758924634
"120","Ccnd2",3.63503267973856,7.56433017553231e-06,1.86196833434702
"121","Taldo1",0.729462365591398,7.56433017553231e-06,-0.455094546319557
"122","Ms4a8a",2.11584699453552,8.03121434475562e-06,1.08123530410319
"123","Fbxl5",1.90046948356807,8.03121434475562e-06,0.926355859581106
"124","Rtp4",0.407352537722908,8.08309555550539e-06,-1.29565019897409
"125","9930111J21Rik2",0.502719033232628,8.08326134989556e-06,-0.992175783553489
"126","Ccl3",1.36212832550861,8.40123213181997e-06,0.445862625415986
"127","Rsad2",0.16,8.66325972044e-06,-2.64385618977472
"128","Atp1a3",0.499119496855346,8.70111252931904e-06,-1.0025428346722
"129","Per1",2.70463276836158,8.79199103246262e-06,1.43543272002991
"130","Rnase6",0.573641816623822,9.50394803551464e-06,-0.801777899235131
"131","Phf11b",0.373333333333333,9.74566715286893e-06,-1.42146376843828
"132","Pgd",0.665683865683866,1.0492556452115e-05,-0.587090893102599
"133","Hsp90ab1",0.677915077548945,1.07416845906916e-05,-0.560823536676988
"134","Stat3",1.57750566893424,1.21075960835258e-05,0.657645189695063
"135","Ptpn18",0.661178369652946,1.51815602038273e-05,-0.596888567027964
"136","Wnk1",1.67169398907104,1.60505369171965e-05,0.741310779921983
"137","Hexa",0.62407960199005,1.66202542896162e-05,-0.680198036838445
"138","Csf3r",0.641734417344173,1.74867465544066e-05,-0.63995173531881
"139","Zfp36l1",1.76343347639485,1.7778664198545e-05,0.818387152693298
"140","Psme1",0.657034220532319,1.82057660286577e-05,-0.605959582016197
"141","Spata13",2.70035087719298,1.86911733741147e-05,1.43314687983057
"142","H2afy",0.722786069651741,1.95419904146244e-05,-0.468359393662739
"143","Atp5j2",0.685485485485485,2.03809296590243e-05,-0.544801976278635
"144","Cd80",5.70666666666667,2.40697428420687e-05,2.51264829590527
"145","St3gal5",2.50046511627907,2.46528788764583e-05,1.32219647830194
"146","Dock8",0.575130616509927,2.78907024102866e-05,-0.79803845467129
"147","Mia2",0.645765765765766,2.78907024102866e-05,-0.630917134067226
